4972	The Birth of a Nation	The Birth of a Nation	1915	195	19003	6.7
6864	Intolerance: Love's Struggle Throughout the Ages	Intolerance: Love's Struggle Throughout the Ages	1916	163	11911	8
10323	The Cabinet of Dr. Caligari	Das Cabinet des Dr. Caligari	1920	76	45499	8.1
12349	The Kid	The Kid	1921	68	83629	8.3
13442	Nosferatu	Nosferatu, eine Symphonie des Grauens	1922	94	75574	8
14429	Safety Last!	Safety Last!	1923	70	14818	8.2
15064	The Last Laugh	Der letzte Mann	1924	77	10270	8.1
15324	Sherlock Jr.	Sherlock Jr.	1924	45	24895	8.3
15648	Battleship Potemkin	Bronenosets Potemkin	1925	75	44999	8
15864	The Gold Rush	The Gold Rush	1925	95	79591	8.2
16220	The Phantom of the Opera	The Phantom of the Opera	1925	93	13820	7.7
16847	Faust	Faust: Eine deutsche Volkssage	1926	85	11735	8.1
17136	Metropolis	Metropolis	1927	153	129432	8.3
17925	The General	The General	1926	67	62821	8.2
18455	Sunrise	Sunrise: A Song of Two Humans	1927	94	36439	8.2
18773	The Circus	The Circus	1928	72	20916	8.1
19254	The Passion of Joan of Arc	La passion de Jeanne d'Arc	1928	110	33097	8.2
19421	Steamboat Bill, Jr.	Steamboat Bill, Jr.	1928	70	10704	8
20629	All Quiet on the Western Front	All Quiet on the Western Front	1930	136	50804	8.1
20640	Animal Crackers	Animal Crackers	1930	97	11605	7.7
20697	The Blue Angel	Der blaue Engel	1930	106	11529	7.8
21577	L'Age d'Or	L'âge d'or	1930	60	10605	7.5
21749	City Lights	City Lights	1931	87	129433	8.6
21814	Dracula	Dracula	1931	75	37853	7.6
21884	Frankenstein	Frankenstein	1931	70	54489	7.9
22100	M	M	1931	117	114617	8.4
22286	The Public Enemy	The Public Enemy	1931	83	14907	7.7
22835	Dr. Jekyll and Mr. Hyde	Dr. Jekyll and Mr. Hyde	1931	98	10562	7.7
22913	Freaks	Freaks	1932	64	35725	7.9
22958	Grand Hotel	Grand Hotel	1932	112	14527	7.6
23027	Horse Feathers	Horse Feathers	1932	68	10235	7.7
23245	The Mummy	The Mummy	1932	73	18849	7.2
23427	Scarface	Scarface	1932	93	21582	7.8
23622	Trouble in Paradise	Trouble in Paradise	1932	83	10797	8.2
23649	Vampyr	Vampyr	1932	83	12584	7.6
23969	Duck Soup	Duck Soup	1933	68	50124	8
24184	The Invisible Man	The Invisible Man	1933	71	23952	7.7
24216	King Kong	King Kong	1933	100	70087	7.9
24844	L'Atalante	L'Atalante	1934	89	11794	7.9
25316	It Happened One Night	It Happened One Night	1934	105	75703	8.1
25452	The Man Who Knew Too Much	The Man Who Knew Too Much	1934	75	14142	6.9
25878	The Thin Man	The Thin Man	1934	91	22635	8.1
26029	The 39 Steps	The 39 Steps	1935	86	43863	7.8
26138	Bride of Frankenstein	Bride of Frankenstein	1935	75	36352	7.9
26174	Captain Blood	Captain Blood	1935	119	10854	7.8
26752	Mutiny on the Bounty	Mutiny on the Bounty	1935	132	17820	7.8
26778	A Night at the Opera	A Night at the Opera	1935	96	27063	8
27125	Top Hat	Top Hat	1935	101	14721	7.8
27977	Modern Times	Modern Times	1936	87	169640	8.5
27996	Mr. Deeds Goes to Town	Mr. Deeds Goes to Town	1936	115	16609	8
28010	My Man Godfrey	My Man Godfrey	1936	94	17205	8.1
28096	The Petrified Forest	The Petrified Forest	1936	82	10464	7.6
28212	Sabotage	Sabotage	1936	76	12299	7.1
28333	Swing Time	Swing Time	1936	103	10082	7.7
28597	The Awful Truth	The Awful Truth	1937	91	14805	7.9
28772	A Day at the Races	A Day at the Races	1937	111	11487	7.7
28950	La Grande Illusion	La grande illusion	1937	113	29391	8.1
29162	Lost Horizon	Lost Horizon	1937	97	10307	7.8
29843	The Adventures of Robin Hood	The Adventures of Robin Hood	1938	102	41701	8
29870	Angels with Dirty Faces	Angels with Dirty Faces	1938	97	17318	8
29947	Bringing Up Baby	Bringing Up Baby	1938	102	48434	8
30241	Holiday	Holiday	1938	95	11991	7.8
30341	The Lady Vanishes	The Lady Vanishes	1938	96	39640	7.9
30993	You Can't Take It with You	You Can't Take It with You	1938	126	19726	8
31381	Gone with the Wind	Gone with the Wind	1939	238	243481	8.2
31679	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	1939	129	88176	8.2
31725	Ninotchka	Ninotchka	1939	110	16016	8
31762	Only Angels Have Wings	Only Angels Have Wings	1939	121	10094	7.7
31867	The Roaring Twenties	The Roaring Twenties	1939	106	10573	7.9
31885	The Rules of the Game	La règle du jeu	1939	110	22731	8.1
31971	Stagecoach	Stagecoach	1939	96	34963	7.9
32138	The Wizard of Oz	The Wizard of Oz	1939	102	326935	8.1
32143	The Women	The Women	1939	133	10702	8
32145	Wuthering Heights	Wuthering Heights	1939	104	13950	7.7
32484	Foreign Correspondent	Foreign Correspondent	1940	120	15240	7.6
32551	The Grapes of Wrath	The Grapes of Wrath	1940	129	72638	8.1
32553	The Great Dictator	The Great Dictator	1940	125	162187	8.5
32599	His Girl Friday	His Girl Friday	1940	92	45359	8
32904	The Philadelphia Story	The Philadelphia Story	1940	112	54922	8
32976	Rebecca	Rebecca	1940	130	100382	8.2
33045	The Shop Around the Corner	The Shop Around the Corner	1940	99	22677	8.1
33152	The Thief of Bagdad	The Thief of Bagdad	1940	106	10069	7.6
33467	Citizen Kane	Citizen Kane	1941	119	335345	8.4
33717	High Sierra	High Sierra	1941	100	12593	7.6
33729	How Green Was My Valley	How Green Was My Valley	1941	118	17699	7.8
33804	The Lady Eve	The Lady Eve	1941	94	16234	8
33870	The Maltese Falcon	The Maltese Falcon	1941	100	128577	8.1
33891	Meet John Doe	Meet John Doe	1941	122	10202	7.7
34167	Sergeant York	Sergeant York	1941	134	13360	7.8
34240	Sullivan's Travels	Sullivan's Travels	1941	90	20298	8.1
34248	Suspicion	Suspicion	1941	99	26682	7.4
34398	The Wolf Man	The Wolf Man	1941	70	19059	7.4
34583	Casablanca	Casablanca	1942	102	438090	8.5
34587	Cat People	Cat People	1942	73	15568	7.4
34862	Holiday Inn	Holiday Inn	1942	100	10341	7.6
35015	The Magnificent Ambersons	The Magnificent Ambersons	1942	88	18494	7.9
35093	Mrs. Miniver	Mrs. Miniver	1942	134	13027	7.6
35140	Now, Voyager	Now, Voyager	1942	117	12593	8
35279	Saboteur	Saboteur	1942	109	19599	7.2
35423	Kate & Leopold	Kate & Leopold	2001	118	70520	6.4
35446	To Be or Not to Be	To Be or Not to Be	1942	99	21479	8.2
35575	Yankee Doodle Dandy	Yankee Doodle Dandy	1942	126	12139	7.8
36112	The Life and Death of Colonel Blimp	The Life and Death of Colonel Blimp	1943	163	10974	8.2
36244	The Ox-Bow Incident	The Ox-Bow Incident	1943	75	17679	8.1
36342	Shadow of a Doubt	Shadow of a Doubt	1943	108	50227	8
36613	Arsenic and Old Lace	Arsenic and Old Lace	1944	118	58678	8
36775	Double Indemnity	Double Indemnity	1944	107	113639	8.3
36855	Gaslight	Gaslight	1944	114	19193	7.9
36868	The Best Years of Our Lives	The Best Years of Our Lives	1946	170	46911	8.1
37008	Laura	Laura	1944	88	35675	8.1
37017	Lifeboat	Lifeboat	1944	97	22648	7.8
37059	Meet Me in St. Louis	Meet Me in St. Louis	1944	113	16866	7.7
37382	To Have and Have Not	To Have and Have Not	1944	100	25979	8
37469	The Woman in the Window	The Woman in the Window	1944	107	10665	7.8
37515	And Then There Were None	And Then There Were None	1945	97	10401	7.6
37558	Brief Encounter	Brief Encounter	1945	86	29379	8.1
37638	Detour	Detour	1945	68	11200	7.4
37674	Children of Paradise	Les enfants du paradis	1945	189	15795	8.3
37884	The Lost Weekend	The Lost Weekend	1945	101	28363	8
37913	Mildred Pierce	Mildred Pierce	1945	111	18443	8
38057	Scarlet Street	Scarlet Street	1945	102	11395	7.9
38109	Spellbound	Spellbound	1945	111	36589	7.6
38348	Beauty and the Beast	La belle et la bête	1946	96	20931	8
38355	The Big Sleep	The Big Sleep	1946	114	69822	8
38559	Gilda	Gilda	1946	110	22972	7.8
38574	Great Expectations	Great Expectations	1946	118	19207	8
